Je wilt cijfers opslaan in een cijferlijst. Welk datatype is hiervoor het meest geschikt?;Float;Integer;String;Boolean;Python Basis
Je wilt een gebruiker vragen om diens telefoonnummer. Welk datatype is hiervoor het meest geschikt?;String;Float;Integer;Boolean;Python Basis
Wat is typecasting?;Het omzetten van een variabele van het ene naar het andere datatype.;Wanneer je variabelen van hetzelfde datatype namen geeft die op elkaar lijken.;Het proces waarmee Python gegevens automatisch omzet naar het juiste datatype.;Een functie waarmee je het datatype van een variabele kan zien.;Python Basis
Wat is het resultaat van de volgende code: print(10 * “3”);3333333333;TypeError: Python cannot multiply integer and string values;30;10 * “3”;Python Basis
Via een import-statement kan je modules importeren in jouw Python-programma. Welk van de onderstaande stellingen geeft de meest volledige uitleg van wat een import-statement doet?;Via een import-statement importeer je alle code die in een ander Python-bestand staat geschreven. Functies roep je aan met de syntax <modulenaam>.<functienaam>.;Via een import-statement importeer je alle code die in een ander Python-bestand staat geschreven. Functies kan je vervolgens op dezelfde manier aanroepen als functies die gedefinieerd staan in het hoofdbestand.;Via een import-statement importeer je alle functies die in een ander Python-bestand staan opgeslagen. Functies roep je aan met de syntax <modulenaam>.<functienaam>.;Via een import-statement importeer je alle functies die in een ander Python-bestand staan opgeslagen. Functies kan je vervolgens op dezelfde manier aanroepen als functies die gedefinieerd staan in het hoofdbestand.;Python Basis
Er zijn twee loops die we veel gebruiken in Python: for en while. Wat is het verschil tussen de twee?;Een for-loop gebruik je als je weet hoe vaak je code moet herhalen. Een while-loop gebruik je als je code wilt herhalen totdat bepaalde voorwaarden zijn bereikt, maar niet weet hoe vaak dat gaat zijn.;Ze doen allebei redelijk hetzelfde.;Een for-loop kan je alleen gebruiken met lists, terwijl je bij een while-loop ook andere soorten variabelen kan gebruiken.;Een while-loop gebruik je als je weet hoe vaak je code moet herhalen. Een for-loop gebruik je als je code wilt herhalen totdat bepaalde voorwaarden zijn bereikt, maar niet weet hoe vaak dat gaat zijn.;Python Basis
Waarom zetten we code in functies?;Alle andere antwoorden zijn juist.;Zodat we blokken code vaker kunnen herhalen, zonder telkens de code opnieuw te schrijven.;Zodat je wijzigingen in code maar op één plek hoeft door te voeren, ook al gebruik je die functie vaker in je programma.;Om de leesbaarheid van code te verbeteren.;Python Basis
Welke bewering over machinetaal (machine language) is NIET waar:;In machinetaal kan je programma's schrijven die op iedere willekeurige computer kunnen runnen.;Machinetaal bestaat uit nullen (0) en enen (1).;Machinetaal wordt door een compiler geproduceerd.;In machinetaal kan je algoritmes beschrijven.;Java Basis
Een bit is ...;een binair cijfer (binary digit): 0 of 1.;een alternatieve term voor byte.;een ijzeren mondstuk voor een paard waaraan de teugels bevestigd zijn.;een elektronisch onderdeel (electronic device) van een computer.;Java Basis
Welke bewering is waar?;Java is een hogere-orde taal (high-level language).;Java is een assembly taal (assembly language).;Java is een machinetaal (machine language).;Geen van de beweringen is waar.;Java Basis
